r_channel;ir_channel
117941;152606
117949;152627
118007;152614
117980;152634
118008;152664
117999;152641
117988;152628
117950;152629
117957;152580
117984;152564
117984;152555
117997;152516
118025;152498
118019;152500
118033;152552
118040;152546
118027;152554
118028;152602
118023;152618
118074;152638
118071;152656
118113;152670
118152;152653
118133;152673
118159;152724
118176;152728
118174;152762
118141;152782
118173;152813
118213;152835
118208;152865
118257;152895
118280;152890
118285;152899
118292;152961
118301;152950
118300;152983
118321;152989
118304;153021
118364;153033
118347;153061
118383;153072
118417;153043
118402;153078
118413;153131
118433;153126
118442;153172
118418;153213
118444;153216
118489;153228
118490;153266
118493;153267
118509;153270
118528;153278
118531;153323
118568;153330
118552;153362
118556;153396
118588;153442
118600;153446
118600;153494
118642;153492
118648;153453
118649;153491
118693;153561
118705;153551
118685;153594
118659;153604
118686;153616
118707;153622
118684;153669
118729;153640
118722;153607
118747;153655
118767;153690
118772;153676
118754;153697
118749;153716
118761;153728
118760;153725
118772;153766
118759;153736
118799;153712
118774;153749
118790;153725
118791;153677
118788;153658
118767;153650
118786;153615
118755;153623
118737;153599
118748;153573
118768;153537
118777;153584
118796;153585
118791;153555
118794;153579
118806;153617
118828;153623
118824;153643
118802;153660
118821;153684
118856;153627
118848;153699
118860;153702
118896;153683
118881;153682
118902;153768
118902;153744
118916;153774
118893;153807
118889;153802
118945;153800
118921;153801
118948;153791
118963;153793
118941;153766
118960;153830
118957;153812
118967;153845
118950;153876
118955;153878
118988;153881
118981;153928
119011;153901
119021;153903
119010;153899
119024;153940
119051;153924
119012;153965
119005;153975
119046;153995
119042;153987
119037;153989
119050;153995
119081;153980
119048;153976
119076;154028
119084;154007
119078;154029
119058;154028
119067;154067
119080;154059
119080;154084
119090;154078
119102;154065
119110;154096
119141;154107
119134;154081
119133;154103
119101;154126
119139;154145
119136;154142
119133;154187
119120;154150
119145;154129
119140;154118
119143;154101
119141;154037
119129;154055
119122;154032
119121;154027
119099;153989
119090;154008
119103;153986
119131;153966
119110;153981
119144;154000
119189;153955
119134;153967
119141;154000
119174;154033
119141;154040
119134;154054
119131;154066
119188;154089
119190;154078
119207;154124
119234;154081
119221;154118
119225;154156
119228;154151
